ID	Topic
# sent_id = 4584	SOCIETAL
# sent_id = M2S19	SOCIETAL
# sent_id = M4S21	SOCIETAL
# sent_id = 4554	SPORT
# sent_id = 9317	SOCIETAL
# sent_id = M1S10	SOCIETAL
# sent_id = 527	SPORT
# sent_id = 93	PRAYER
# sent_id = 2208	SPORT
# sent_id = 4048	POLITICS
# sent_id = 2589	POLITICS
# sent_id = 3293	SOCIETAL
# sent_id = 2898	SPORT
# sent_id = 4639	SPORT
# sent_id = 3013	SPORT
# sent_id = M3S68	SOCIETAL
# sent_id = 4428	SPORT
# sent_id = 525	SPORT
# sent_id = 2449	SPORT
# sent_id = M2S29	NONE
# sent_id = M4S15	SOCIETAL
# sent_id = 2364	SOCIETAL
# sent_id = 9285	SPORT
# sent_id = 4465	POLITICS
# sent_id = 626	POLITICS
# sent_id = 9328	SOCIETAL
# sent_id = M3S61	SOCIETAL
# sent_id = M4S54	SOCIETAL
# sent_id = 4579	POLITICS
# sent_id = 2083	SPORT
# sent_id = 679	PRAYER
# sent_id = 4539	SOCIETAL
# sent_id = 1039	SPORT
# sent_id = 23	POLITICS
# sent_id = 4658	SOCIETAL
# sent_id = 4262	SPORT
# sent_id = 919	SPORT
# sent_id = 2214	SPORT
# sent_id = 256	PRAYER
# sent_id = 9291	SPORT
# sent_id = M4S37	NONE
# sent_id = 967	SPORT
# sent_id = 714	SPORT
# sent_id = 9309	NONE
# sent_id = 4619	NONE
# sent_id = 1616	SOCIETAL
# sent_id = 1318	SOCIETAL
# sent_id = 2801	SPORT
# sent_id = 15	SOCIETAL
# sent_id = M3S48	SOCIETAL
# sent_id = 9302	SOCIETAL
# sent_id = 4505	NONE
# sent_id = 1611	SOCIETAL
# sent_id = 4650	NONE
# sent_id = M2S26	NONE
# sent_id = M2S57	SOCIETAL
# sent_id = 68	SPORT
# sent_id = 313	SPORT
# sent_id = 1273	SPORT
# sent_id = 3760	SOCIETAL
# sent_id = 2151	POLITICS
# sent_id = M3S36	SOCIETAL
# sent_id = 1974	SPORT
# sent_id = 2830	SOCIETAL
# sent_id = M4S23	SOCIETAL
# sent_id = 4178	NONE
# sent_id = 672	SPORT
# sent_id = 107	NONE
# sent_id = 3052	SOCIETAL
# sent_id = M2S11	SOCIETAL
# sent_id = 4626	SOCIETAL
# sent_id = 4437	SPORT
# sent_id = 3687	SOCIETAL
# sent_id = 9367	SPORT
# sent_id = 1011	SPORT
# sent_id = M1S16	POLITICS
# sent_id = 4486	SOCIETAL
# sent_id = 4426	SPORT
# sent_id = M4S44	NONE
# sent_id = 2113	SOCIETAL
# sent_id = 3058	SOCIETAL
# sent_id = 2647	SPORT
# sent_id = 1607	SPORT
# sent_id = 9312	SOCIETAL
# sent_id = 100	SOCIETAL
# sent_id = 45	SPORT
# sent_id = 2788	NONE
# sent_id = 2433	SOCIETAL
# sent_id = 598	SPORT
# sent_id = 4662	NONE
# sent_id = M2S48	NONE
# sent_id = 3375	SOCIETAL
# sent_id = 9355	SPORT
# sent_id = 9314	SPORT
# sent_id = 910	POLITICS
# sent_id = 9329	POLITICS
# sent_id = 4224	SPORT
# sent_id = 4401	SOCIETAL
# sent_id = M2S20	NONE
# sent_id = 4222	SOCIETAL
# sent_id = 4648	SPORT
# sent_id = M2S32	SOCIETAL
# sent_id = M3S17	SOCIETAL
# sent_id = 1706	SPORT
# sent_id = 4371	POLITICS
# sent_id = 1951	SPORT
# sent_id = 4591	SOCIETAL
# sent_id = 3426	SPORT
# sent_id = 1316	SPORT
# sent_id = 5355	SOCIETAL
# sent_id = 3272	SOCIETAL
# sent_id = 775	SPORT
# sent_id = M4S52	NONE
# sent_id = 1561	POLITICS
# sent_id = M4S56	NONE
# sent_id = 17	SPORT
# sent_id = 223	SPORT
# sent_id = M4S48	NONE
# sent_id = 3738	SPORT
# sent_id = 9371	SPORT
# sent_id = 4153	SOCIETAL
# sent_id = 9315	SOCIETAL
# sent_id = M1S15	SOCIETAL
# sent_id = 3250	POLITICS
# sent_id = 57	POLITICS
# sent_id = 3344	SOCIETAL
# sent_id = 1591	SOCIETAL
# sent_id = 3789	SPORT
# sent_id = 3338	NONE
# sent_id = M4S4	NONE
# sent_id = 3514	SOCIETAL
# sent_id = 47	SPORT
# sent_id = 3700	SPORT
# sent_id = 542	NONE
# sent_id = 5	SOCIETAL
# sent_id = 4597	SPORT
# sent_id = 3917	PRAYER
# sent_id = 9356	SPORT
# sent_id = M3S47	NONE
# sent_id = 28	SOCIETAL
# sent_id = 3163	POLITICS
# sent_id = 4600	SPORT
# sent_id = 4481	SPORT
# sent_id = 1790	NONE
# sent_id = 1298	SPORT
# sent_id = M1S4	SPORT
# sent_id = 9350	PRAYER
# sent_id = 1088	NONE
# sent_id = 1048	POLITICS
# sent_id = 2737	POLITICS
# sent_id = M3S64	SOCIETAL
# sent_id = 1323	NONE
# sent_id = 9313	SOCIETAL
# sent_id = M2S52	NONE
# sent_id = 1494	SPORT
# sent_id = M2S46	NONE
# sent_id = 4605	SPORT
# sent_id = 2558	SOCIETAL
# sent_id = 9297	SOCIETAL
# sent_id = 4665	SOCIETAL
# sent_id = 1241	SPORT
# sent_id = 4684	PRAYER
# sent_id = 1227	POLITICS
# sent_id = 601	NONE
# sent_id = M2S44	NONE
# sent_id = 2798	NONE
# sent_id = 240	SPORT
# sent_id = 4688	SOCIETAL
# sent_id = 3887	PRAYER
# sent_id = 4661	POLITICS
# sent_id = 3279	SPORT
# sent_id = 35	SOCIETAL
# sent_id = 4640	SPORT
# sent_id = 4472	PRAYER
# sent_id = 4431	SPORT
# sent_id = 154	SPORT
# sent_id = 3550	SOCIETAL
# sent_id = 80	SOCIETAL
# sent_id = 2570	SPORT
# sent_id = 1973	SPORT
# sent_id = M2S49	NONE
# sent_id = M3S69	NONE
# sent_id = 2713	NONE
# sent_id = M4S7	NONE
# sent_id = 534	SOCIETAL
# sent_id = M4S33	NONE
# sent_id = 4464	PRAYER
# sent_id = 2194	SPORT
# sent_id = 2095	SPORT
# sent_id = 564	SOCIETAL
# sent_id = 4603	SPORT
# sent_id = 2040	POLITICS
# sent_id = 585	SPORT
# sent_id = M4S81	NONE
# sent_id = 4268	SPORT
# sent_id = M3S29	NONE
# sent_id = 4649	SPORT
# sent_id = 2431	SPORT
# sent_id = 9323	NONE
# sent_id = 4608	PRAYER
# sent_id = 4410	SPORT
# sent_id = M3S16	SOCIETAL
# sent_id = 4256	SOCIETAL
# sent_id = 1847	SOCIETAL
# sent_id = 3880	POLITICS
# sent_id = M4S76	NONE
# sent_id = 2224	SPORT
# sent_id = 602	SPORT
# sent_id = 3197	NONE
# sent_id = 1438	SPORT
# sent_id = 26	SOCIETAL
# sent_id = 582	SOCIETAL
# sent_id = 4581	POLITICS
# sent_id = 9274	SOCIETAL
# sent_id = 1639	SPORT
# sent_id = 33	PRAYER
# sent_id = 3053	SOCIETAL
# sent_id = 857	SOCIETAL
# sent_id = 2176	SOCIETAL
# sent_id = 1754	SOCIETAL
# sent_id = 1321	SPORT
# sent_id = M1S17	NONE
# sent_id = 4419	SOCIETAL
# sent_id = 1472	SOCIETAL
# sent_id = 4624	SPORT
# sent_id = 2191	SOCIETAL
# sent_id = 2306	SOCIETAL
# sent_id = 3601	SPORT
# sent_id = 9334	SPORT
# sent_id = M4S20	NONE
# sent_id = M3S30	NONE
# sent_id = 9284	NONE
# sent_id = 9294	NONE
# sent_id = 320	NONE
# sent_id = 7727	SPORT
# sent_id = 3417	NONE
# sent_id = 4611	SPORT
# sent_id = 4687	SOCIETAL
# sent_id = 2262	SPORT
# sent_id = 43	SPORT
# sent_id = 702	SPORT
# sent_id = 3309	SPORT
# sent_id = 1517	SPORT
# sent_id = 4469	SPORT
# sent_id = 3780	SPORT
# sent_id = 855	POLITICS
# sent_id = M2S56	NONE
# sent_id = 1885	SPORT
# sent_id = 1141	SOCIETAL
# sent_id = 4032	SPORT
# sent_id = 4629	PRAYER
# sent_id = 4418	SOCIETAL
# sent_id = 121	SPORT
# sent_id = 649	SPORT
# sent_id = 9296	NONE
# sent_id = 9337	SPORT
# sent_id = 4673	SPORT
# sent_id = 4349	NONE
# sent_id = 3351	SOCIETAL
# sent_id = 746	SOCIETAL
# sent_id = 36	SOCIETAL
# sent_id = 3540	SOCIETAL
# sent_id = 1167	SPORT
# sent_id = M3S44	SOCIETAL
# sent_id = 9307	NONE
# sent_id = 9318	PRAYER
# sent_id = 3481	POLITICS
# sent_id = 4551	SPORT
# sent_id = 9305	SPORT
# sent_id = 4642	SOCIETAL
# sent_id = M2S50	NONE
# sent_id = 2257	NONE
# sent_id = 3828	SOCIETAL
# sent_id = 2145	POLITICS
# sent_id = 1369	SPORT
# sent_id = 3892	POLITICS
# sent_id = M3S32	SOCIETAL
# sent_id = 2700	SOCIETAL
# sent_id = 4647	PRAYER
# sent_id = 3649	SPORT
# sent_id = 3860	NONE
# sent_id = 1877	SPORT
# sent_id = 1013	SPORT
# sent_id = 1474	SPORT
# sent_id = 30	POLITICS
# sent_id = 4440	SOCIETAL
# sent_id = 4517	POLITICS
# sent_id = 3418	SPORT
# sent_id = 2793	NONE
# sent_id = 2	SPORT
# sent_id = M2S27	NONE
# sent_id = 4572	NONE
# sent_id = 3827	SOCIETAL
# sent_id = M4S49	NONE
# sent_id = 2332	NONE
# sent_id = 1714	SPORT
# sent_id = 4409	SPORT
# sent_id = 4511	NONE
# sent_id = 3680	POLITICS
# sent_id = 3803	NONE
# sent_id = 2160	SPORT
# sent_id = M4S46	NONE
# sent_id = 1264	SPORT
# sent_id = 4657	NONE
# sent_id = 2539	SPORT
# sent_id = 4490	PRAYER
# sent_id = 85	SPORT
# sent_id = M4S72	SOCIETAL
# sent_id = 9348	SPORT
# sent_id = 2337	SPORT
# sent_id = 4411	SPORT
# sent_id = M2S25	NONE
# sent_id = 4207	NONE
# sent_id = 3520	POLITICS
# sent_id = 4601	NONE
# sent_id = 4284	NONE
# sent_id = 4588	SOCIETAL
# sent_id = 2947	SOCIETAL
# sent_id = 1774	SPORT
# sent_id = 3979	SPORT
# sent_id = 4695	NONE
# sent_id = 104	NONE
# sent_id = 4562	RELIGION
# sent_id = 4553	SOCIETAL
# sent_id = 3341	NONE
# sent_id = 4211	SPORT
# sent_id = 1931	NONE
# sent_id = 4054	SPORT
# sent_id = 2410	SPORT
# sent_id = 4643	SPORT
# sent_id = 2450	SPORT
# sent_id = 4525	PRAYER
# sent_id = 4186	RELIGION
# sent_id = 4468	SOCIETAL
# sent_id = M2S35	NONE
# sent_id = 572	NONE
# sent_id = 2600	NONE
# sent_id = 3407	NONE
# sent_id = 3849	SOCIETAL
# sent_id = 3993	SOCIETAL
# sent_id = 2073	SOCIETAL
# sent_id = 3683	SOCIETAL
# sent_id = 4656	NONE
# sent_id = 73	NONE
# sent_id = 749	NONE
# sent_id = 824	SPORT
# sent_id = 3189	SPORT
# sent_id = 101	POLITICS
# sent_id = 4273	POLITICS
# sent_id = 540	SPORT
# sent_id = 1872	SOCIETAL
# sent_id = 4	NONE
# sent_id = 273	SOCIETAL
# sent_id = 4622	NONE
# sent_id = 4042	NONE
# sent_id = M3S67	NONE
# sent_id = M3S62	RELIGION
# sent_id = 4286	RELIGION
# sent_id = 3096	PRAYER
# sent_id = 22	POLITICS
# sent_id = 9368	SPORT
# sent_id = 3899	SPORT
# sent_id = M3S60	NONE
# sent_id = M2S6	NONE
# sent_id = 4208	RELIGION
# sent_id = 559	SPORT
# sent_id = 4046	SPORT
# sent_id = 4670	NONE
# sent_id = 848	NONE
# sent_id = 4663	POLITICS
# sent_id = 558	SOCIETAL
# sent_id = 1163	SPORT
# sent_id = 3437	SPORT
# sent_id = 3411	SPORT
# sent_id = 3967	SOCIETAL
# sent_id = 4671	POLITICS
# sent_id = 4461	SPORT
# sent_id = 55	SPORT
# sent_id = 9287	SPORT
# sent_id = 4123	SPORT
# sent_id = 3681	SPORT
# sent_id = M4S40	NONE
# sent_id = 535	NONE
# sent_id = 1252	NONE
# sent_id = 5356	SOCIETAL
# sent_id = 5357	SPORT
# sent_id = 4614	SPORT
# sent_id = M3S14	NONE
# sent_id = 108	SPORT
# sent_id = M4S70	NONE
# sent_id = 103	POLITICS
# sent_id = 4609	SPORT
# sent_id = 1361	PRAYER
# sent_id = 4522	SPORT
# sent_id = 4637	SPORT
# sent_id = 3307	SPORT
# sent_id = 1162	SPORT
# sent_id = 5353	SPORT
# sent_id = 1685	SPORT
# sent_id = M4S84	NONE
# sent_id = M2S38	NONE
# sent_id = 773	SPORT
# sent_id = 1263	SPORT
# sent_id = 2751	SPORT
# sent_id = 4459	SPORT
# sent_id = 858	NONE
# sent_id = M3S15	NONE
# sent_id = 228	NONE
# sent_id = 4543	NONE
# sent_id = 4506	POLITICS
# sent_id = 4598	SPORT
# sent_id = 2128	SPORT
# sent_id = M4S24	NONE
# sent_id = 4585	NONE
# sent_id = 4514	PRAYER
# sent_id = 4696	SPORT
# sent_id = 2821	SPORT
# sent_id = 1725	RELIGION
# sent_id = 1792	SOCIETAL
# sent_id = 327	POLITICS
# sent_id = 2750	SPORT
# sent_id = 3239	SOCIETAL
# sent_id = M4S2	SOCIETAL
# sent_id = 1756	SOCIETAL
# sent_id = 3421	RELIGION
# sent_id = 2677	SPORT
# sent_id = M2S16	SOCIETAL
# sent_id = 4504	NONE
# sent_id = M3S54	SOCIETAL
# sent_id = 3150	NONE
# sent_id = 77	SPORT
# sent_id = 4644	RELIGION
# sent_id = 9320	SPORT
# sent_id = 4679	POLITICS
# sent_id = 3428	SPORT
# sent_id = 1630	POLITICS
# sent_id = 4452	NONE
# sent_id = 31	NONE
# sent_id = 3834	SPORT
# sent_id = 9286	SPORT
# sent_id = 9343	SPORT
# sent_id = 9306	SPORT
# sent_id = 8	POLITICS
# sent_id = 771	SPORT
# sent_id = 1653	PRAYER
# sent_id = 4615	NONE
# sent_id = M4S82	NONE
# sent_id = M4S53	NONE
# sent_id = 3283	POLITICS
# sent_id = 4432	SPORT
# sent_id = 939	SPORT
# sent_id = 4293	PRAYER
# sent_id = 19	SPORT
# sent_id = 4578	SOCIETAL
# sent_id = 4001	SPORT
# sent_id = M3S12	NONE
# sent_id = 3932	SPORT
# sent_id = 1304	NONE
# sent_id = 2279	SPORT
# sent_id = M4S57	NONE
# sent_id = 2110	SPORT
# sent_id = 2674	NONE
# sent_id = 716	SPORT
# sent_id = 816	SOCIETAL
# sent_id = 4515	NONE
# sent_id = 818	SPORT
# sent_id = 109	NONE
# sent_id = 4442	NONE
# sent_id = 4467	NONE
# sent_id = 4445	SPORT
# sent_id = 3161	SOCIETAL
# sent_id = 3992	SPORT
# sent_id = 3843	SPORT
# sent_id = 160	SPORT
# sent_id = 831	NONE
# sent_id = 248	NONE
# sent_id = 1467	PRAYER
# sent_id = 686	SPORT
# sent_id = 741	POLITICS
# sent_id = 4101	POLITICS
# sent_id = 2011	SPORT
# sent_id = 3886	SPORT
# sent_id = M4S35	NONE
# sent_id = 1865	SPORT
# sent_id = 2307	SOCIETAL
# sent_id = 1757	SOCIETAL
# sent_id = 1082	SPORT
# sent_id = 4053	SPORT
# sent_id = 4415	RELIGION
# sent_id = M4S55	NONE
# sent_id = 2028	SPORT
# sent_id = M4S17	NONE
# sent_id = 7	NONE
# sent_id = 1303	SOCIETAL
# sent_id = 3971	SOCIETAL
# sent_id = 655	NONE
# sent_id = 1242	NONE
# sent_id = 712	SPORT
# sent_id = 4140	SOCIETAL
# sent_id = M1S24	NONE
# sent_id = 518	SOCIETAL
# sent_id = 2566	SPORT
# sent_id = 4534	NONE
# sent_id = 4542	NONE
# sent_id = 2891	SPORT
# sent_id = 1596	NONE
# sent_id = 2341	SPORT
# sent_id = 4484	SPORT
# sent_id = 2249	NONE
# sent_id = M3S70	RELIGION
# sent_id = 597	SPORT
# sent_id = 2846	SPORT
# sent_id = 4676	SPORT
# sent_id = 802	SPORT
# sent_id = 200	SOCIETAL
# sent_id = 4246	SPORT
# sent_id = 4606	NONE
# sent_id = 9322	NONE
# sent_id = 3223	NONE
# sent_id = 3535	SOCIETAL
# sent_id = 4067	SOCIETAL
# sent_id = M4S13	NONE
# sent_id = 2598	SPORT
# sent_id = 1370	SPORT
# sent_id = 1745	SPORT
# sent_id = 9354	SPORT
# sent_id = 2283	NONE
# sent_id = 9362	SPORT
# sent_id = 1807	NONE
# sent_id = 1996	POLITICS
# sent_id = 4336	SOCIETAL
# sent_id = 537	SPORT
# sent_id = 4423	SPORT
# sent_id = 4521	SOCIETAL
# sent_id = M3S10	NONE
# sent_id = 53	POLITICS
# sent_id = 4532	SPORT
# sent_id = 892	SPORT
# sent_id = 3525	SPORT
# sent_id = 9293	SPORT
# sent_id = 2336	POLITICS
# sent_id = 9331	SPORT
# sent_id = 2017	SOCIETAL
# sent_id = 888	NONE
# sent_id = 1493	POLITICS
# sent_id = 2514	NONE
# sent_id = 3372	SOCIETAL
# sent_id = 258	SPORT
# sent_id = 4571	NONE
# sent_id = 964	SPORT
# sent_id = 3536	SPORT
# sent_id = 4556	SPORT
# sent_id = 4455	NONE
# sent_id = 4416	SPORT
# sent_id = 3837	SPORT
# sent_id = 9	SOCIETAL
# sent_id = 4417	SOCIETAL
# sent_id = 3170	SPORT
# sent_id = 4538	PRAYER
# sent_id = 2783	NONE
# sent_id = 4617	NONE
# sent_id = 4005	SPORT
# sent_id = M2S7	NONE
# sent_id = 1247	SPORT
# sent_id = 2960	SPORT
# sent_id = 1342	NONE
# sent_id = 2002	SPORT
# sent_id = 9299	SOCIETAL
# sent_id = 1573	SOCIETAL
# sent_id = 1957	PRAYER
# sent_id = 9303	SOCIETAL
# sent_id = 4480	NONE
# sent_id = 1723	NONE
# sent_id = 167	PRAYER
# sent_id = 3965	SOCIETAL
# sent_id = 2075	SOCIETAL
# sent_id = 2052	SPORT
# sent_id = M2S39	NONE
# sent_id = 2560	SPORT
# sent_id = 4587	SPORT
# sent_id = 4630	NONE
# sent_id = 6	SOCIETAL
# sent_id = 4191	SOCIETAL
# sent_id = 2125	PRAYER
# sent_id = 9357	SPORT
# sent_id = 3546	PRAYER
# sent_id = 4616	POLITICS
# sent_id = 69	SPORT
# sent_id = M4S59	NONE
# sent_id = 265	SPORT
# sent_id = 3458	PRAYER
# sent_id = 9288	SPORT
# sent_id = M4S27	NONE
# sent_id = M4S42	NONE
# sent_id = 4499	PRAYER
# sent_id = M4S85	NONE
# sent_id = 2718	SPORT
# sent_id = 505	SOCIETAL
# sent_id = 13	NONE
# sent_id = 3945	SPORT
# sent_id = M3S66	SOCIETAL
# sent_id = 4544	SOCIETAL
# sent_id = 56	SPORT
# sent_id = 1541	SPORT
# sent_id = 9353	SPORT
# sent_id = 4457	SPORT
# sent_id = 4138	SPORT
# sent_id = 224	NONE
# sent_id = 3609	SPORT
# sent_id = 4463	POLITICS
# sent_id = 1104	SPORT
# sent_id = 2637	SPORT
# sent_id = 4412	SPORT
# sent_id = 550	SOCIETAL
# sent_id = 2579	SPORT
# sent_id = 4040	NONE
# sent_id = 4546	NONE
# sent_id = M3S45	NONE
# sent_id = 3671	SPORT
# sent_id = 785	SPORT
# sent_id = 1265	SPORT
# sent_id = 2775	PRAYER
# sent_id = 9310	PRAYER
# sent_id = 2072	SPORT
# sent_id = 158	SPORT
# sent_id = M4S86	NONE
# sent_id = M2S17	NONE
# sent_id = 4691	SOCIETAL
# sent_id = M4S43	SOCIETAL
# sent_id = 4529	SOCIETAL
# sent_id = M3S58	SOCIETAL
# sent_id = 9336	SPORT
# sent_id = 4179	SPORT
# sent_id = 10	SOCIETAL
# sent_id = 4682	SPORT
# sent_id = 9277	SOCIETAL
# sent_id = 60	SPORT
# sent_id = M4S47	NONE
# sent_id = 2414	SPORT
# sent_id = 4407	NONE
# sent_id = M2S55	NONE
# sent_id = 4674	POLITICS
# sent_id = 4213	SPORT
# sent_id = 4559	SPORT
# sent_id = 3248	SPORT
# sent_id = 5358	SPORT
# sent_id = 3172	NONE
# sent_id = 4550	NONE
# sent_id = 1464	SPORT
# sent_id = 774	SPORT
# sent_id = 3031	SPORT
# sent_id = 4570	NONE
# sent_id = 4595	POLITICS
# sent_id = 1609	NONE
# sent_id = 2643	SPORT
# sent_id = 1284	SPORT
# sent_id = 4645	NONE
# sent_id = 92	POLITICS
# sent_id = 1543	SOCIETAL
# sent_id = 3549	SPORT
# sent_id = 4668	SOCIETAL
# sent_id = M4S22	NONE
# sent_id = M4S87	NONE
# sent_id = 4613	NONE
# sent_id = 1422	NONE
# sent_id = 4669	NONE
# sent_id = 4635	SPORT
# sent_id = 546	POLITICS
# sent_id = 2747	NONE
# sent_id = 614	NONE
# sent_id = M1S1	POLITICS
# sent_id = 4433	SPORT
# sent_id = M3S73	NONE
# sent_id = 4038	SPORT
# sent_id = 514	NONE
# sent_id = 2084	SPORT
# sent_id = 1806	NONE
# sent_id = 4482	SPORT
# sent_id = 294	NONE
# sent_id = 4408	SPORT
# sent_id = 4000	SPORT
# sent_id = 4636	SOCIETAL
# sent_id = M4S12	NONE
# sent_id = 1718	SPORT
# sent_id = 4580	POLITICS
# sent_id = 1566	SPORT
# sent_id = 1317	SPORT
# sent_id = 680	SOCIETAL
# sent_id = 78	NONE
# sent_id = 4699	POLITICS
# sent_id = 9298	NONE
# sent_id = 2531	SOCIETAL
# sent_id = M2S40	NONE
# sent_id = 1724	SPORT
# sent_id = 524	POLITICS
# sent_id = 1557	SPORT
# sent_id = M4S39	SOCIETAL
# sent_id = 4479	SOCIETAL
# sent_id = 2938	SOCIETAL
# sent_id = 586	SOCIETAL
# sent_id = 1524	NONE
# sent_id = 3777	NONE
# sent_id = 4528	SPORT
# sent_id = 1766	SPORT
# sent_id = 9372	NONE
# sent_id = 9370	SPORT
# sent_id = 2177	NONE
# sent_id = 4632	NONE
# sent_id = 1325	SPORT
# sent_id = 4560	NONE
# sent_id = 907	SPORT
# sent_id = 49	NONE
# sent_id = 3110	POLITICS
# sent_id = M4S80	NONE
# sent_id = M4S30	NONE
# sent_id = 3254	NONE
# sent_id = 3691	SOCIETAL
# sent_id = 4405	NONE
# sent_id = M4S74	NONE
# sent_id = 4530	POLITICS
# sent_id = 4545	NONE
# sent_id = 12	NONE
# sent_id = 2790	NONE
# sent_id = 2510	NONE
# sent_id = 4563	SPORT
# sent_id = 4491	SOCIETAL
# sent_id = 4492	NONE
# sent_id = M2S10	NONE
# sent_id = 90	POLITICS
# sent_id = M1S23	NONE
# sent_id = M2S47	NONE
# sent_id = 2676	SPORT
# sent_id = 2711	SPORT
# sent_id = 4082	SPORT
# sent_id = 42	SPORT
# sent_id = 891	NONE
# sent_id = 4403	SPORT
# sent_id = M1S22	NONE
# sent_id = 4589	NONE
# sent_id = M3S74	NONE
# sent_id = 1769	SPORT
# sent_id = 2817	SPORT
# sent_id = 2929	SPORT
# sent_id = M3S13	NONE
# sent_id = 2794	NONE
# sent_id = 3973	NONE
# sent_id = 1236	NONE
# sent_id = 1193	SPORT
# sent_id = 1001	SPORT
# sent_id = M4S1	SOCIETAL
# sent_id = 2051	SOCIETAL
# sent_id = 4683	RELIGION
# sent_id = 1356	NONE
# sent_id = 1959	SOCIETAL
# sent_id = 3818	SPORT
# sent_id = 4697	NONE
# sent_id = M4S75	NONE
# sent_id = 64	SOCIETAL
# sent_id = 94	RELIGION
# sent_id = M2S31	NONE
# sent_id = 9278	SOCIETAL
# sent_id = 89	POLITICS
# sent_id = 4583	NONE
# sent_id = 4502	NONE
# sent_id = 2132	NONE
# sent_id = 938	SOCIETAL
# sent_id = 4109	NONE
# sent_id = 2311	NONE
# sent_id = 674	SPORT
# sent_id = 1922	SOCIETAL
# sent_id = M3S31	SOCIETAL
# sent_id = 3907	NONE
# sent_id = 1015	SPORT
# sent_id = M2S37	NONE
# sent_id = 1638	SPORT
# sent_id = 3	NONE
# sent_id = 14	NONE
# sent_id = 747	NONE
# sent_id = 4519	SOCIETAL
# sent_id = 40	SPORT
# sent_id = 4510	NONE
# sent_id = 4493	NONE
# sent_id = 1	NONE
# sent_id = 96	NONE
# sent_id = 544	NONE
# sent_id = M4S50	NONE
# sent_id = 41	NONE
# sent_id = 3463	SOCIETAL
# sent_id = M2S2	NONE
# sent_id = 4501	NONE
